Pokemon,Attack,Defense
Bulbasaur,118,118
Ivysaur,151,151
Venusaur,198,198
Charmander,116,96
Charmeleon,158,129
Charizard,223,176
Squirtle,94,122
Wartortle,126,155
Blastoise,171,210
Caterpie,55,62
Metapod,45,94
Butterfree,167,151
Weedle,63,55
Kakuna,46,86
Beedrill,169,150
Pidgey,85,76
Pidgeotto,117,108
Pidgeot,166,157
Rattata,103,70
Raticate,161,144
Spearow,112,61
Fearow,182,135
Ekans,110,102
Arbok,167,158
Pikachu,112,101
Raichu,193,165
Sandshrew,126,145
Sandslash,182,202
Nidoran_,86,94
Nidorina,117,126
Nidoqueen,180,174
Nidoran_,105,76
Nidorino,137,112
Nidoking,204,157
Clefairy,107,116
Clefable,178,171
Vulpix,96,122
Ninetales,169,204
Jigglypuff,80,44
Wigglytuff,156,93
Zubat,83,76
Golbat,161,153
Oddish,131,116
Gloom,153,139
Vileplume,202,170
Paras,121,99
Parasect,165,146
Venonat,100,102
Venomoth,179,150
Diglett,109,88
Dugtrio,167,147
Meowth,92,81
Persian,150,139
Psyduck,122,96
Golduck,191,163
Mankey,148,87
Primeape,207,144
Growlithe,136,96
Arcanine,227,166
Poliwag,101,82
Poliwhirl,130,130
Poliwrath,182,187
Abra,195,103
Kadabra,232,138
Alakazam,271,194
Machop,137,88
Machoke,177,130
Machamp,234,162
Bellsprout,139,64
Weepinbell,172,95
Victreebel,207,138
Tentacool,97,182
Tentacruel,166,237
Geodude,132,163
Graveler,164,196
Golem,211,229
Ponyta,170,132
Rapidash,207,167
Slowpoke,109,109
Slowbro,177,194
Magnemite,165,128
Magneton,223,182
Farfetch'd,124,118
Doduo,158,88
Dodrio,218,145
Seel,85,128
Dewgong,139,184
Grimer,135,90
Muk,190,184
Shellder,116,168
Cloyster,186,323
Gastly,186,70
Haunter,223,112
Gengar,261,156
Onix,85,288
Drowzee,89,158
Hypno,144,215
Krabby,181,156
Kingler,240,214
Voltorb,109,114
Electrode,173,179
Exeggcute,107,140
Exeggutor,233,158
Cubone,90,165
Marowak,144,200
Hitmonlee,224,211
Hitmonchan,193,212
Lickitung,108,137
Koffing,119,164
Weezing,174,221
Rhyhorn,140,157
Rhydon,222,206
Chansey,60,176
Tangela,183,205
Kangaskhan,181,165
Horsea,129,125
Seadra,187,182
Goldeen,123,115
Seaking,175,154
Staryu,137,112
Starmie,210,184
Mr. Mime,192,233
Scyther,218,170
Jynx,223,182
Electabuzz,198,173
Magmar,206,169
Pinsir,238,197
Tauros,198,197
Magikarp,29,102
Gyarados,237,197
Lapras,186,190
Ditto,91,91
Eevee,104,121
Vaporeon,205,177
Jolteon,232,201
Flareon,246,204
Porygon,153,139
Omanyte,155,174
Omastar,207,227
Kabuto,148,162
Kabutops,220,203
Aerodactyl,221,164
Snorlax,190,190
Articuno,192,249
Zapdos,253,188
Moltres,251,184
Dratini,119,94
Dragonair,163,138
Dragonite,263,201
Mewtwo,330,200
Mew,210,210
,,
